dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error
wine,MLP,DE,0,-1.0,60,3.245405435562134,budget,
wine,MLP,DE,1,-1.0,60,3.7605738639831543,budget,
wine,MLP,DE,2,-1.0,60,3.1054446697235107,budget,
wine,MLP,PSO,0,-1.0,60,3.4018735885620117,budget,
wine,MLP,PSO,1,-1.0,60,4.829912424087524,budget,
wine,MLP,PSO,2,-1.0,60,4.1432414054870605,budget,
wine,MLP,HDGPSO,0,-1.0,60,2.27938175201416,budget,
wine,MLP,HDGPSO,1,-1.0,60,5.677882432937622,budget,
wine,MLP,HDGPSO,2,-1.0,60,3.445323944091797,budget,
wine,MLP,HDGPSO-MF,0,-1.0,117,3.156895637512207,budget,
wine,MLP,HDGPSO-MF,1,-1.0,117,4.821234703063965,budget,
wine,MLP,HDGPSO-MF,2,-1.0,117,3.184875965118408,budget,
diabetes,RandomForest,RandomSearch,0,3118.005098134785,60,26.981525421142578,budget,
diabetes,RandomForest,RandomSearch,1,3097.4540926345235,60,23.198394536972046,budget,
diabetes,RandomForest,RandomSearch,2,3107.3877741874617,60,24.600736141204834,budget,
diabetes,RandomForest,GridSearch,0,3294.474800974503,4,0.1955866813659668,budget,
diabetes,RandomForest,GridSearch,1,3358.468337365488,4,0.20068812370300293,budget,
diabetes,RandomForest,GridSearch,2,3329.7765836605963,4,0.20136308670043945,budget,
diabetes,RandomForest,Bayes,0,3081.3682154226594,60,45.73169255256653,budget,
diabetes,RandomForest,Bayes,1,3077.678735908372,60,36.30386281013489,budget,
diabetes,RandomForest,Bayes,2,3088.315247909457,60,46.57824993133545,budget,
diabetes,RandomForest,Optuna-TPE,0,3072.9028536737083,60,20.40287947654724,budget,
diabetes,RandomForest,Optuna-TPE,1,3073.8589442529997,60,17.33139991760254,budget,
diabetes,RandomForest,Optuna-TPE,2,3097.8584267395654,60,26.186692476272583,budget,
diabetes,RandomForest,DE,0,3076.9820697451773,60,25.498071670532227,budget,
diabetes,RandomForest,DE,1,3081.7030024253822,60,22.776174545288086,budget,
diabetes,RandomForest,DE,2,3103.530144007463,60,24.231088638305664,budget,
diabetes,RandomForest,PSO,0,3077.5048059598957,60,27.07524609565735,budget,
diabetes,RandomForest,PSO,1,3074.296582387511,60,13.027947425842285,budget,
diabetes,RandomForest,PSO,2,3094.9567827838546,60,34.24311876296997,budget,
diabetes,RandomForest,HDGPSO,0,3076.53663114473,60,23.188552379608154,budget,
diabetes,RandomForest,HDGPSO,1,3084.725523510646,60,33.048482179641724,budget,
diabetes,RandomForest,HDGPSO,2,3091.214315126603,60,26.113417148590088,budget,
diabetes,RandomForest,HDGPSO-MF,0,3114.291151661752,117,15.50307035446167,budget,
diabetes,RandomForest,HDGPSO-MF,1,3109.586953905782,117,26.99229598045349,budget,
diabetes,RandomForest,HDGPSO-MF,2,3097.719199935749,117,27.19363045692444,budget,
diabetes,GradientBoosting,RandomSearch,0,3224.220508413259,60,32.28252983093262,budget,
diabetes,GradientBoosting,RandomSearch,1,3173.362235954743,60,25.88295555114746,budget,
diabetes,GradientBoosting,RandomSearch,2,3142.617631372111,60,27.989929676055908,budget,
diabetes,GradientBoosting,GridSearch,0,3235.4924171677667,32,13.22249150276184,budget,
diabetes,GradientBoosting,GridSearch,1,3233.7122928550293,32,13.10092282295227,budget,
diabetes,GradientBoosting,GridSearch,2,3235.688810160535,32,13.00577998161316,budget,
diabetes,GradientBoosting,Bayes,0,3192.9881293297167,60,54.653318881988525,budget,
diabetes,GradientBoosting,Bayes,1,3090.6452748571405,60,48.74854326248169,budget,
diabetes,GradientBoosting,Bayes,2,3045.9083318921253,60,33.2055778503418,budget,
diabetes,GradientBoosting,Optuna-TPE,0,3141.885578397705,60,23.844223022460938,budget,
diabetes,GradientBoosting,Optuna-TPE,1,3109.5237929274203,60,18.42320442199707,budget,
diabetes,GradientBoosting,Optuna-TPE,2,3075.243812134711,60,16.015656232833862,budget,
diabetes,GradientBoosting,DE,0,3261.275883884091,60,30.245368003845215,budget,
diabetes,GradientBoosting,DE,1,3217.4518556172984,60,26.69856882095337,budget,
diabetes,GradientBoosting,DE,2,3194.2809842840798,60,29.497047901153564,budget,
diabetes,GradientBoosting,PSO,0,3184.8502046441567,60,20.60188579559326,budget,
diabetes,GradientBoosting,PSO,1,3211.0623138966025,60,25.277182579040527,budget,
diabetes,GradientBoosting,PSO,2,3125.184492793496,60,26.08165955543518,budget,
diabetes,GradientBoosting,HDGPSO,0,3105.5616311009053,60,30.404420614242554,budget,
diabetes,GradientBoosting,HDGPSO,1,3065.691659990463,60,12.583203315734863,budget,
diabetes,GradientBoosting,HDGPSO,2,3055.9285951128336,60,26.099917888641357,budget,
diabetes,GradientBoosting,HDGPSO-MF,0,3097.450288387577,117,25.18406367301941,budget,
diabetes,GradientBoosting,HDGPSO-MF,1,3102.9727407033274,117,20.38675594329834,budget,
diabetes,GradientBoosting,HDGPSO-MF,2,3178.228110389646,117,21.43544340133667,budget,
pinn_heat,PINN-Heat,RandomSearch,0,4.805894604942296e-06,60,211.21770024299622,budget,
pinn_heat,PINN-Heat,RandomSearch,1,1.1056549737986643e-06,60,222.32214879989624,budget,
pinn_heat,PINN-Heat,RandomSearch,2,1.931392034748569e-06,60,268.1980838775635,budget,
pinn_heat,PINN-Heat,GridSearch,0,0.13273341953754425,27,23.43402862548828,budget,
pinn_heat,PINN-Heat,GridSearch,1,0.3432067930698395,27,21.48968267440796,budget,
pinn_heat,PINN-Heat,GridSearch,2,0.08383028209209442,27,21.11281967163086,budget,
pinn_heat,PINN-Heat,Bayes,0,2.4979879071906907e-06,60,324.1740336418152,budget,
pinn_heat,PINN-Heat,Bayes,1,2.1297009880072437e-06,60,364.13915181159973,budget,
pinn_heat,PINN-Heat,Bayes,2,2.8456554446165683e-06,60,261.9590513706207,budget,
pinn_heat,PINN-Heat,Optuna-TPE,0,2.757658705832e-07,60,340.6155502796173,budget,
pinn_heat,PINN-Heat,Optuna-TPE,1,3.5135590792378935e-07,60,267.16299843788147,budget,
pinn_heat,PINN-Heat,Optuna-TPE,2,2.612001708257594e-07,60,309.1505706310272,budget,
pinn_heat,PINN-Heat,DE,0,8.806887308310252e-07,60,257.04850482940674,budget,
pinn_heat,PINN-Heat,DE,1,1.849156319622125e-06,60,227.5559332370758,budget,
pinn_heat,PINN-Heat,DE,2,4.669026566261891e-06,60,237.10907435417175,budget,
pinn_heat,PINN-Heat,PSO,0,1.270026785959999e-07,60,356.30129051208496,budget,
pinn_heat,PINN-Heat,PSO,1,9.078791549654852e-07,60,127.55951976776123,budget,
pinn_heat,PINN-Heat,PSO,2,1.3851638414053014e-07,60,188.58852458000183,budget,
pinn_heat,PINN-Heat,HDGPSO,0,5.25552241015248e-06,60,200.36625504493713,budget,
pinn_heat,PINN-Heat,HDGPSO,1,3.877516974171158e-08,60,276.6367859840393,budget,
pinn_heat,PINN-Heat,HDGPSO,2,2.92677157176513e-07,60,291.088739156723,budget,
pinn_heat,PINN-Heat,HDGPSO-MF,0,3.5731557090912247e-07,117,324.47928047180176,budget,
pinn_heat,PINN-Heat,HDGPSO-MF,1,6.400434244824282e-07,117,225.0719211101532,budget,
pinn_heat,PINN-Heat,HDGPSO-MF,2,6.990563861108967e-07,117,330.145804643631,budget,
