dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error,budget
wine,GradientBoosting,PSO,1,-0.938512241054614,20,25.44196319580078,budget,,20
wine,GradientBoosting,PSO,2,-0.949623352165725,20,35.92109560966492,budget,,20
wine,GradientBoosting,HDGPSO,0,-0.9552730696798494,20,30.84264636039734,budget,,20
wine,GradientBoosting,HDGPSO,1,-0.9551789077212806,20,23.28296899795532,budget,,20
wine,GradientBoosting,HDGPSO,2,-0.9609227871939736,20,29.03059792518616,budget,,20
wine,GradientBoosting,HDGPSO-MF,0,-0.9270244821092278,37,23.879693031311035,budget,,20
wine,GradientBoosting,HDGPSO-MF,1,-0.9497175141242938,37,17.295229196548462,budget,,20
wine,GradientBoosting,HDGPSO-MF,2,-0.9551789077212806,37,22.293670415878296,budget,,20
wine,MLP,RandomSearch,0,-1.0,20,0.8981997966766357,budget,,20
wine,MLP,RandomSearch,1,-1.0,20,1.166318655014038,budget,,20
wine,MLP,RandomSearch,2,-1.0,20,1.5073189735412598,budget,,20
wine,MLP,GridSearch,0,-0.3333333432674408,20,1.4718642234802246,budget,,20
wine,MLP,GridSearch,1,-0.2777777910232544,20,1.692487716674805,budget,,20
wine,MLP,GridSearch,2,-0.5,20,1.4825561046600342,budget,,20
wine,MLP,Bayes,0,-1.0,20,5.417065143585205,budget,,20
wine,MLP,Bayes,1,-1.0,20,7.988562822341919,budget,,20
wine,MLP,Bayes,2,-1.0,20,5.443843603134155,budget,,20
wine,MLP,Optuna-TPE,0,-1.0,20,1.0963764190673828,budget,,20
wine,MLP,Optuna-TPE,1,-1.0,20,1.2584023475646973,budget,,20
wine,MLP,Optuna-TPE,2,-1.0,20,1.0458803176879885,budget,,20
wine,MLP,DE,0,-1.0,20,1.316225528717041,budget,,20
wine,MLP,DE,1,-1.0,20,1.1027135848999023,budget,,20
wine,MLP,DE,2,-1.0,20,0.8699748516082764,budget,,20
wine,MLP,PSO,0,-1.0,20,1.21962308883667,budget,,20
wine,MLP,PSO,1,-1.0,20,3.087499618530273,budget,,20
wine,MLP,PSO,2,-1.0,20,1.136056423187256,budget,,20
wine,MLP,HDGPSO,0,-1.0,20,0.6728641986846924,budget,,20
wine,MLP,HDGPSO,1,-1.0,20,1.4431724548339844,budget,,20
wine,MLP,HDGPSO,2,-1.0,20,1.041268825531006,budget,,20
wine,MLP,HDGPSO-MF,0,-1.0,37,0.9349877834320068,budget,,20
wine,MLP,HDGPSO-MF,1,-1.0,37,1.9055359363555908,budget,,20
wine,MLP,HDGPSO-MF,2,-1.0,37,1.0496392250061035,budget,,20
diabetes,RandomForest,RandomSearch,0,3139.771597812889,20,11.127580881118774,budget,,20
diabetes,RandomForest,RandomSearch,1,3097.4540926345235,20,9.20406723022461,budget,,20
diabetes,RandomForest,RandomSearch,2,3107.3877741874617,20,9.22718858718872,budget,,20
diabetes,RandomForest,GridSearch,0,3294.474800974503,4,0.2252380847930908,budget,,20
diabetes,RandomForest,GridSearch,1,3358.468337365488,4,0.2223265171051025,budget,,20
diabetes,RandomForest,GridSearch,2,3329.7765836605963,4,0.2154686450958252,budget,,20
diabetes,RandomForest,Bayes,0,3081.3682154226594,20,10.033944845199583,budget,,20
diabetes,RandomForest,Bayes,1,3096.375070083799,20,13.092947244644163,budget,,20
diabetes,RandomForest,Bayes,2,3091.6027467004046,20,12.861835956573486,budget,,20
diabetes,RandomForest,Optuna-TPE,0,3104.428556384169,20,9.48529839515686,budget,,20
diabetes,RandomForest,Optuna-TPE,1,3109.472044201894,20,9.191762447357178,budget,,20
diabetes,RandomForest,Optuna-TPE,2,3120.507096922133,20,10.67477536201477,budget,,20
diabetes,RandomForest,DE,0,3113.118352638357,20,8.999632120132446,budget,,20
diabetes,RandomForest,DE,1,3122.456857196745,20,9.537094831466677,budget,,20
diabetes,RandomForest,DE,2,3116.942923964696,20,9.284207820892334,budget,,20
diabetes,RandomForest,PSO,0,3122.139478498854,20,10.108898639678957,budget,,20
diabetes,RandomForest,PSO,1,3096.282323786957,20,5.693501949310303,budget,,20
diabetes,RandomForest,PSO,2,3116.183699521867,20,11.38222885131836,budget,,20
diabetes,RandomForest,HDGPSO,0,3091.684825528368,20,6.865884780883789,budget,,20
diabetes,RandomForest,HDGPSO,1,3120.881551129074,20,8.233446598052979,budget,,20
diabetes,RandomForest,HDGPSO,2,3105.982661600204,20,8.851725339889526,budget,,20
diabetes,RandomForest,HDGPSO-MF,0,3123.843412119315,37,5.551953554153442,budget,,20
diabetes,RandomForest,HDGPSO-MF,1,3151.995748373282,37,7.165429592132568,budget,,20
diabetes,RandomForest,HDGPSO-MF,2,3089.7424358883086,37,8.557292699813843,budget,,20
diabetes,GradientBoosting,RandomSearch,0,3308.352400386102,20,13.390154123306274,budget,,20
diabetes,GradientBoosting,RandomSearch,1,3345.4180128942376,20,10.631442070007324,budget,,20
diabetes,GradientBoosting,RandomSearch,2,3142.617631372111,20,11.389183044433594,budget,,20
diabetes,GradientBoosting,GridSearch,0,5850.363986334015,1,0.0386898517608642,budget,,20
diabetes,GradientBoosting,GridSearch,1,5849.495789669712,1,0.0371592044830322,budget,,20
diabetes,GradientBoosting,GridSearch,2,5849.273555893163,1,0.0441558361053466,budget,,20
diabetes,GradientBoosting,Bayes,0,3199.3527493887545,20,18.142396450042725,budget,,20
diabetes,GradientBoosting,Bayes,1,3221.4220820606715,20,17.47914743423462,budget,,20
diabetes,GradientBoosting,Bayes,2,3222.194923906476,20,7.9673426151275635,budget,,20
diabetes,GradientBoosting,Optuna-TPE,0,3270.627765264185,20,12.149060726165771,budget,,20
diabetes,GradientBoosting,Optuna-TPE,1,3112.893604497065,20,8.642943859100342,budget,,20
diabetes,GradientBoosting,Optuna-TPE,2,3075.243812134711,20,8.077584981918335,budget,,20
diabetes,GradientBoosting,DE,0,3274.306766369157,20,10.2835590839386,budget,,20
diabetes,GradientBoosting,DE,1,3236.4242791783195,20,11.520501613616943,budget,,20
diabetes,GradientBoosting,DE,2,3275.6825904853813,20,10.360438823699951,budget,,20
diabetes,GradientBoosting,PSO,0,3242.270935394939,20,7.259679794311523,budget,,20
diabetes,GradientBoosting,PSO,1,3225.9848965486904,20,7.316988229751587,budget,,20
diabetes,GradientBoosting,PSO,2,3196.26815370433,20,9.395537376403809,budget,,20
diabetes,GradientBoosting,HDGPSO,0,3314.384563182291,20,11.709560871124268,budget,,20
diabetes,GradientBoosting,HDGPSO,1,3317.083285362336,20,8.099962949752808,budget,,20
diabetes,GradientBoosting,HDGPSO,2,3172.338330024625,20,10.035232782363892,budget,,20
diabetes,GradientBoosting,HDGPSO-MF,0,3257.0778136791773,37,9.598541498184204,budget,,20
diabetes,GradientBoosting,HDGPSO-MF,1,3172.6569139149765,37,7.946428537368774,budget,,20
diabetes,GradientBoosting,HDGPSO-MF,2,3133.3721479184646,37,8.379708290100098,budget,,20
pinn_heat,PINN-Heat,RandomSearch,0,1.2696525118371936e-05,20,89.17442297935486,budget,,20
pinn_heat,PINN-Heat,RandomSearch,1,1.1056549737986645e-06,20,87.13907957077026,budget,,20
pinn_heat,PINN-Heat,RandomSearch,2,2.2586373233934864e-05,20,104.3043851852417,budget,,20
pinn_heat,PINN-Heat,GridSearch,0,0.1327334195375442,20,19.4324688911438,budget,,20
pinn_heat,PINN-Heat,GridSearch,1,0.3432067930698395,20,20.68121290206909,budget,,20
pinn_heat,PINN-Heat,GridSearch,2,0.0856027901172638,20,18.344588041305546,budget,,20
pinn_heat,PINN-Heat,Bayes,0,6.522624516946962e-06,20,116.77065587043762,budget,,20
pinn_heat,PINN-Heat,Bayes,1,4.350799827079754e-06,20,135.1518976688385,budget,,20
pinn_heat,PINN-Heat,Bayes,2,4.110118879907532e-06,20,109.02830505371094,budget,,20
pinn_heat,PINN-Heat,Optuna-TPE,0,1.0415920996820205e-06,20,120.09887504577635,budget,,20
pinn_heat,PINN-Heat,Optuna-TPE,1,2.619022325234255e-06,20,82.32995462417603,budget,,20
pinn_heat,PINN-Heat,Optuna-TPE,2,2.633482836245093e-06,20,102.99641871452332,budget,,20
pinn_heat,PINN-Heat,DE,0,8.806887308310252e-07,20,96.19104266166688,budget,,20
pinn_heat,PINN-Heat,DE,1,0.0002094583032885,20,96.18722033500671,budget,,20
pinn_heat,PINN-Heat,DE,2,3.096631189691834e-05,20,94.02554607391356,budget,,20
pinn_heat,PINN-Heat,PSO,0,4.4475893901108076e-07,20,114.43721532821657,budget,,20
pinn_heat,PINN-Heat,PSO,1,1.974592851183843e-05,20,42.394739627838135,budget,,20
pinn_heat,PINN-Heat,PSO,2,1.1435237183832214e-06,20,71.39966106414795,budget,,20
pinn_heat,PINN-Heat,HDGPSO,0,3.661589289549738e-05,20,66.47525238990784,budget,,20
pinn_heat,PINN-Heat,HDGPSO,1,1.0981385685226996e-06,20,78.32537746429443,budget,,20
pinn_heat,PINN-Heat,HDGPSO,2,8.710559995961376e-06,20,80.90977334976196,budget,,20
pinn_heat,PINN-Heat,HDGPSO-MF,0,1.374080511595821e-05,37,76.62484502792358,budget,,20
pinn_heat,PINN-Heat,HDGPSO-MF,1,7.057923312459025e-07,37,77.51465034484863,budget,,20
pinn_heat,PINN-Heat,HDGPSO-MF,2,2.0541117464745184e-06,37,82.15208292007446,budget,,20
breast_cancer,RandomForest,RandomSearch,0,-0.9578297595841456,40,35.411600828170776,budget,,40
breast_cancer,RandomForest,RandomSearch,1,-0.9560753736192332,40,30.914835453033447,budget,,40
breast_cancer,RandomForest,RandomSearch,2,-0.9595934280144808,40,31.425845861434937,budget,,40
breast_cancer,RandomForest,GridSearch,0,-0.9490485472941612,4,0.3457131385803222,budget,,40
breast_cancer,RandomForest,GridSearch,1,-0.9402673350041773,4,0.3407995700836181,budget,,40
breast_cancer,RandomForest,GridSearch,2,-0.9437668244685788,4,0.354156494140625,budget,,40
breast_cancer,RandomForest,Bayes,0,-0.9718926946997124,40,37.41753816604614,budget,,40
breast_cancer,RandomForest,Bayes,1,-0.9596027104799036,40,35.23102951049805,budget,,40
breast_cancer,RandomForest,Bayes,2,-0.9578297595841456,40,32.11659598350525,budget,,40
breast_cancer,RandomForest,Optuna-TPE,0,-0.9560660911538104,40,30.397232055664062,budget,,40
breast_cancer,RandomForest,Optuna-TPE,1,-0.9578390420495684,40,33.49020528793335,budget,,40
breast_cancer,RandomForest,Optuna-TPE,2,-0.9613478139793928,40,16.09298872947693,budget,,40
breast_cancer,RandomForest,DE,0,-0.9543117051888982,40,26.973543167114254,budget,,40
breast_cancer,RandomForest,DE,1,-0.9560753736192332,40,30.12158870697021,budget,,40
breast_cancer,RandomForest,DE,2,-0.9578297595841456,40,22.88577699661255,budget,,40
breast_cancer,RandomForest,PSO,0,-0.956084656084656,40,17.3999502658844,budget,,40
breast_cancer,RandomForest,PSO,1,-0.9560660911538104,40,15.783456325531006,budget,,40
breast_cancer,RandomForest,PSO,2,-0.9578204771187228,40,25.275935888290405,budget,,40
breast_cancer,RandomForest,HDGPSO,0,-0.9683839227698876,40,15.521789312362673,budget,,40
breast_cancer,RandomForest,HDGPSO,1,-0.9595934280144808,40,21.78452754020691,budget,,40
breast_cancer,RandomForest,HDGPSO,2,-0.9613292490485472,40,30.124396085739136,budget,,40
breast_cancer,RandomForest,HDGPSO-MF,0,-0.959574863083635,75,21.442492246627808,budget,,40
breast_cancer,RandomForest,HDGPSO-MF,1,-0.9578390420495684,75,9.298703670501707,budget,,40
breast_cancer,RandomForest,HDGPSO-MF,2,-0.9543209876543208,75,25.180906295776367,budget,,40
breast_cancer,GradientBoosting,RandomSearch,0,-0.975392184164114,40,107.09593510627748,budget,,40
breast_cancer,GradientBoosting,RandomSearch,1,-0.9701290262693772,40,81.25688743591309,budget,,40
breast_cancer,GradientBoosting,RandomSearch,2,-0.973628515733779,40,90.83700108528136,budget,,40
breast_cancer,GradientBoosting,GridSearch,0,-0.9736377981992016,32,43.853968381881714,budget,,40
breast_cancer,GradientBoosting,GridSearch,1,-0.9736470806646246,32,43.932188987731934,budget,,40
breast_cancer,GradientBoosting,GridSearch,2,-0.9736377981992016,32,44.01246237754822,budget,,40
breast_cancer,GradientBoosting,Bayes,0,-0.9754014666295368,40,68.24284029006958,budget,,40
breast_cancer,GradientBoosting,Bayes,1,-0.9789102385593614,40,77.34684920310974,budget,,40
breast_cancer,GradientBoosting,Bayes,2,-0.9683746403044649,40,75.62243485450745,budget,,40
